"A0","A1","A2","A3","A4","A5","ardno_usec_snce_lst_read","python_datetime"
"189","192","200","212","245","256","20004
","2019-09-30 12:35:16.322997"
"189","190","194","200","231","243","20000
","2019-09-30 12:35:16.343478"
"189","190","192","196","221","234","20000
","2019-09-30 12:35:16.363883"
"189","190","191","192","212","224","20000
","2019-09-30 12:35:16.384121"
"189","190","191","192","207","217","20000
","2019-09-30 12:35:16.404556"
"189","190","191","191","204","217","20000
","2019-09-30 12:35:16.421333"
"189","190","192","192","205","213","20000
","2019-09-30 12:35:16.441797"
"189","190","191","191","204","215","20000
","2019-09-30 12:35:16.462294"
"428","367","310","270","241","231","20000
","2019-09-30 12:35:16.482920"
"1019","790","624","501","372","305","20000
","2019-09-30 12:35:16.503138"
"1019","928","814","695","514","405","20004
","2019-09-30 12:35:16.523593"
"1020","979","911","823","636","509","20000
","2019-09-30 12:35:16.543909"
"191","457","604","669","614","533","20004
","2019-09-30 12:35:16.564252"
"189","277","386","481","520","498","20000
","2019-09-30 12:35:16.584630"
"189","212","265","338","424","439","20000
","2019-09-30 12:35:16.601583"
"189","193","214","254","345","378","20000
","2019-09-30 12:35:16.622061"
"189","190","196","215","287","328","20000
","2019-09-30 12:35:16.642541"
"189","190","191","199","252","291","20000
","2019-09-30 12:35:16.663024"
"189","190","190","193","231","263","20000
","2019-09-30 12:35:16.683448"
"189","190","191","191","218","244","20000
","2019-09-30 12:35:16.703745"
"189","190","191","191","211","233","20000
","2019-09-30 12:35:16.724033"
"189","191","192","193","210","228","20000
","2019-09-30 12:35:16.744490"
"190","191","191","192","208","227","20000
","2019-09-30 12:35:16.761460"
"189","191","191","191","205","218","20000
","2019-09-30 12:35:16.781887"
"189","190","191","191","202","214","20000
","2019-09-30 12:35:16.802235"
"189","190","191","191","201","212","20000
","2019-09-30 12:35:16.822691"
"190","190","191","192","202","212","20000
","2019-09-30 12:35:16.843176"
"189","190","191","193","202","211","20000
","2019-09-30 12:35:16.863632"
"189","190","191","192","201","209","20000
","2019-09-30 12:35:16.884123"
