"A0","A1","A2","A3","A4","A5","datetime"
"100","111","130","154","255","270","2019-09-05 16:31:31.253668"
"100","107","118","132","228","248","2019-09-05 16:31:31.270190"
"100","106","114","122","207","228","2019-09-05 16:31:31.286438"
"100","106","114","118","194","213","2019-09-05 16:31:31.302845"
"100","106","113","117","185","202","2019-09-05 16:31:31.319271"
"100","106","114","117","179","194","2019-09-05 16:31:31.335527"
"100","106","113","116","174","188","2019-09-05 16:31:31.351968"
"100","106","114","117","171","183","2019-09-05 16:31:31.368395"
"100","106","114","117","168","179","2019-09-05 16:31:31.384697"
"100","106","114","117","165","175","2019-09-05 16:31:31.401189"
"100","106","114","117","164","173","2019-09-05 16:31:31.417422"
"100","106","114","117","162","170","2019-09-05 16:31:31.433839"
"100","106","114","117","160","168","2019-09-05 16:31:31.450288"
"100","106","114","117","159","166","2019-09-05 16:31:31.466534"
"101","106","114","117","158","164","2019-09-05 16:31:31.483040"
"100","106","113","117","157","163","2019-09-05 16:31:31.499459"
"100","106","114","117","156","161","2019-09-05 16:31:31.515773"
"100","106","113","117","154","160","2019-09-05 16:31:31.532196"
"100","106","113","117","154","159","2019-09-05 16:31:31.548501"
"100","106","113","117","153","157","2019-09-05 16:31:31.564773"
"100","106","113","117","152","156","2019-09-05 16:31:31.581208"
"100","106","113","117","152","155","2019-09-05 16:31:31.597794"
"100","106","114","118","152","154","2019-09-05 16:31:31.614241"
"100","106","113","117","151","154","2019-09-05 16:31:31.630361"
"101","106","113","117","150","152","2019-09-05 16:31:31.647090"
"101","106","114","118","150","152","2019-09-05 16:31:31.663106"
"100","106","113","117","149","151","2019-09-05 16:31:31.679718"
"100","106","113","117","149","151","2019-09-05 16:31:31.696012"
"100","106","113","117","148","149","2019-09-05 16:31:31.712373"
"100","106","114","117","148","149","2019-09-05 16:31:31.728821"
"100","106","113","117","147","148","2019-09-05 16:31:31.745227"
"100","106","113","117","147","148","2019-09-05 16:31:31.761528"
"100","106","114","117","147","147","2019-09-05 16:31:31.777960"
"100","106","114","118","147","147","2019-09-05 16:31:31.794390"
"100","106","114","118","146","146","2019-09-05 16:31:31.810684"
"100","106","114","118","147","146","2019-09-05 16:31:31.827113"
"100","106","114","118","146","146","2019-09-05 16:31:31.843500"
"100","106","114","118","146","145","2019-09-05 16:31:31.859866"
"100","106","114","118","146","145","2019-09-05 16:31:31.876221"
"101","106","114","118","145","144","2019-09-05 16:31:31.892654"
"101","106","114","117","145","144","2019-09-05 16:31:31.908967"
"100","106","113","117","145","144","2019-09-05 16:31:31.925411"
